year,month,amount,date.1
1993,Aug,21989,1993-08-08
1993,Sep,20273,1993-09-09
1993,Oct,17946,1993-10-10
1993,Nov,19684,1993-11-11
1993,Dec,22807,1993-12-12
1994,Jan,26402,1994-01-01
1994,Feb,26039,1994-02-02
1994,Mar,27601,1994-03-03
1994,Apr,22651,1994-04-04
1994,May,18293,1994-05-05
1994,Jun,16183,1994-06-06
1994,Jul,21318,1994-07-07
1994,Aug,26213,1994-08-08
1994,Sep,23380,1994-09-09
1994,Oct,21754,1994-10-10
1994,Nov,23198,1994-11-11
1994,Dec,26950,1994-12-12
1995,Jan,30881,1995-01-01
1995,Feb,29778,1995-02-02
1995,Mar,29226,1995-03-03
1995,Apr,27381,1995-04-04
1995,May,19399,1995-05-05
1995,Jun,16643,1995-06-06
1995,Jul,24970,1995-07-07
1995,Aug,29668,1995-08-08
1995,Sep,24316,1995-09-09
1995,Oct,24891,1995-10-10
1995,Nov,27144,1995-11-11
1995,Dec,30572,1995-12-12
1996,Jan,31921,1996-01-01
1996,Feb,34387,1996-02-02
1996,Mar,33021,1996-03-03
1996,Apr,29496,1996-04-04
1996,May,18501,1996-05-05
1996,Jun,18557,1996-06-06
1996,Jul,24512,1996-07-07
1996,Aug,29901,1996-08-08
1996,Sep,26999,1996-09-09
1996,Oct,29078,1996-10-10
1996,Nov,28938,1996-11-11
1996,Dec,33422,1996-12-12
1997,Jan,33290,1997-01-01
1997,Feb,36013,1997-02-02
1997,Mar,36417,1997-03-03
1997,Apr,30522,1997-04-04
1997,May,21392,1997-05-05
1997,Jun,18969,1997-06-06
1997,Jul,25818,1997-07-07
1997,Aug,30380,1997-08-08
1997,Sep,30520,1997-09-09
1997,Oct,31549,1997-10-10
1997,Nov,33194,1997-11-11
1997,Dec,37499,1997-12-12
1998,Jan,38679,1998-01-01
1998,Feb,37046,1998-02-02
1998,Mar,38820,1998-03-03
1998,Apr,34920,1998-04-04
1998,May,23499,1998-05-05
1998,Jun,22184,1998-06-06
1998,Jul,25964,1998-07-07
1998,Aug,33546,1998-08-08
1998,Sep,31908,1998-09-09
1998,Oct,32001,1998-10-10
1998,Nov,37708,1998-11-11
1998,Dec,39450,1998-12-12
1999,Jan,42603,1999-01-01
1999,Feb,43732,1999-02-02
1999,Mar,45170,1999-03-03
1999,Apr,35817,1999-04-04
1999,May,26390,1999-05-05
1999,Jun,22639,1999-06-06
1999,Jul,30188,1999-07-07
1999,Aug,38738,1999-08-08
1999,Sep,34450,1999-09-09
1999,Oct,33755,1999-10-10
1999,Nov,39923,1999-11-11
1999,Dec,36261,1999-12-12
2000,Jan,45297,2000-01-01
2000,Feb,48974,2000-02-02
2000,Mar,45393,2000-03-03
2000,Apr,43458,2000-04-04
2000,May,27019,2000-05-05
2000,Jun,24033,2000-06-06
2000,Jul,33027,2000-07-07
2000,Aug,40563,2000-08-08
2000,Sep,36878,2000-09-09
2000,Oct,39078,2000-10-10
2000,Nov,38985,2000-11-11
2000,Dec,44449,2000-12-12
2001,Jan,50459,2001-01-01
2001,Feb,48987,2001-02-02
2001,Mar,50488,2001-03-03
2001,Apr,48100,2001-04-04
2001,May,29450,2001-05-05
2001,Jun,25593,2001-06-06
2001,Jul,35461,2001-07-07
2001,Aug,38744,2001-08-08
2001,Sep,31726,2001-09-09
2001,Oct,31209,2001-10-10
2001,Nov,30341,2001-11-11
2001,Dec,40426,2001-12-12
2002,Jan,36211,2002-01-01
2002,Feb,47024,2002-02-02
2002,Mar,49280,2002-03-03
2002,Apr,42647,2002-04-04
2002,May,31529,2002-05-05
2002,Jun,23641,2002-06-06
2002,Jul,34341,2002-07-07
2002,Aug,41243,2002-08-08
2002,Sep,39760,2002-09-09
2002,Oct,42579,2002-10-10
2002,Nov,42310,2002-11-11
2002,Dec,54115,2002-12-12
2003,Jan,54503,2003-01-01
2003,Feb,56706,2003-02-02
2003,Mar,56441,2003-03-03
2003,Apr,48742,2003-04-04
2003,May,31119,2003-05-05
2003,Jun,26915,2003-06-06
2003,Jul,38076,2003-07-07
2003,Aug,48431,2003-08-08
2003,Sep,44951,2003-09-09
2003,Oct,48357,2003-10-10
2003,Nov,51087,2003-11-11
2003,Dec,58265,2003-12-12
2004,Jan,61861,2004-01-01
2004,Feb,59692,2004-02-02
2004,Mar,63855,2004-03-03
2004,Apr,55396,2004-04-04
2004,May,42197,2004-05-05
2004,Jun,33835,2004-06-06
2004,Jul,43527,2004-07-07
2004,Aug,55843,2004-08-08
2004,Sep,46838,2004-09-09
2004,Oct,52511,2004-10-10
2004,Nov,56656,2004-11-11
2004,Dec,44505,2004-12-12
2005,Jan,18747,2005-01-01
2005,Feb,29391,2005-02-02
2005,Mar,35742,2005-03-03
2005,Apr,29714,2005-04-04
2005,May,25309,2005-05-05
2005,Jun,22590,2005-06-06
2005,Jul,29860,2005-07-07
2005,Aug,38366,2005-08-08
2005,Sep,33748,2005-09-09
2005,Oct,40543,2005-10-10
2005,Nov,44461,2005-11-11
2005,Dec,46849,2005-12-12
2006,Jan,58332,2006-01-01
2006,Feb,54741,2006-02-02
2006,Mar,54596,2006-03-03
2006,Apr,55983,2006-04-04
2006,May,40961,2006-05-05
2006,Jun,33037,2006-06-06
2006,Jul,42776,2006-07-07
2006,Aug,49968,2006-08-08
2006,Sep,44593,2006-09-09
2006,Oct,54721,2006-10-10
2006,Nov,53594,2006-11-11
2006,Dec,58621,2006-12-12
2007,Jan,64570,2007-01-01
2007,Feb,65224,2007-02-02
2007,Mar,64491,2007-03-03
2007,Apr,63171,2007-04-04
2007,May,46602,2007-05-05
2007,Jun,38457,2007-06-06
2007,Jul,51025,2007-07-07
2007,Aug,53168,2007-08-08
2007,Sep,48468,2007-09-09
2007,Oct,58706,2007-10-10
2007,Nov,56797,2007-11-11
2007,Dec,65210,2007-12-12
2008,Jan,64621,2008-01-01
2008,Feb,67963,2008-02-02
2008,Mar,71623,2008-03-03
2008,Apr,62670,2008-04-04
2008,May,48764,2008-05-05
2008,Jun,40283,2008-06-06
2008,Jul,47675,2008-07-07
2008,Aug,51824,2008-08-08
2008,Sep,50687,2008-09-09
2008,Oct,56363,2008-10-10
2008,Nov,57961,2008-11-11
2008,Dec,62578,2008-12-12
2009,Jan,61531,2009-01-01
2009,Feb,58520,2009-02-02
2009,Mar,62127,2009-03-03
2009,Apr,57186,2009-04-04
2009,May,43154,2009-05-05
2009,Jun,36205,2009-06-06
2009,Jul,44332,2009-07-07
2009,Aug,52388,2009-08-08
2009,Sep,50396,2009-09-09
2009,Oct,62432,2009-10-10
2009,Nov,61986,2009-11-11
2009,Dec,65595,2009-12-12
2010,Jan,67478,2010-01-01
2010,Feb,77063,2010-02-02
2010,Mar,74975,2010-03-03
2010,Apr,60742,2010-04-04
2010,May,58324,2010-05-05
2010,Jun,44050,2010-06-06
2010,Jul,57232,2010-07-07
2010,Aug,66315,2010-08-08
2010,Sep,62524,2010-09-09
2010,Oct,74707,2010-10-10
2010,Nov,74252,2010-11-11
2010,Dec,74255,2010-12-12
2011,Jan,79493,2011-01-01
2011,Feb,87392,2011-02-02
2011,Mar,80732,2011-03-03
2011,Apr,79947,2011-04-04
2011,May,64456,2011-05-05
2011,Jun,55947,2011-06-06
2011,Jul,72516,2011-07-07
2011,Aug,76828,2011-08-08
2011,Sep,71861,2011-09-09
2011,Oct,91059,2011-10-10
2011,Nov,85501,2011-11-11
2011,Dec,85601,2011-12-12
2012,Jan,96146,2012-01-01
2012,Feb,83252,2012-02-02
2012,Mar,76469,2012-03-03
2012,Apr,79288,2012-04-04
2012,May,63534,2012-05-05
2012,Jun,59379,2012-06-06
2012,Jul,76966,2012-07-07
2012,Aug,79768,2012-08-08
2012,Sep,76806,2012-09-09
2012,Oct,92391,2012-10-10
2012,Nov,82311,2012-11-11
2012,Dec,91717,2012-12-12
2013,Jan,88869,2013-01-01
2013,Feb,104745,2013-02-02
2013,Mar,99498,2013-03-03
2013,Apr,90636,2013-04-04
2013,May,79426,2013-05-05
2013,Jun,76493,2013-06-06
2013,Jul,87972,2013-07-07
2013,Aug,98338,2013-08-08
2013,Sep,92298,2013-09-09
2013,Oct,107331,2013-10-10
2013,Nov,94584,2013-11-11
2013,Dec,105012,2013-12-12
2014,Jan,105296,2014-01-01
2014,Feb,110705,2014-02-02
2014,Mar,105560,2014-03-03
2014,Apr,105309,2014-04-04
2014,May,91296,2014-05-05
2014,Jun,83347,2014-06-06
2014,Jul,100191,2014-07-07
2014,Aug,104186,2014-08-08
2014,Sep,95114,2014-09-09
2014,Oct,110331,2014-10-10
2014,Nov,89778,2014-11-11
2014,Dec,103744,2014-12-12
2015,Jan,97073,2015-01-01
2015,Feb,120468,2015-02-02
2015,Mar,112427,2015-03-03
2015,Apr,102242,2015-04-04
2015,May,95389,2015-05-05
2015,Jun,81506,2015-06-06
2015,Jul,104517,2015-07-07
2015,Aug,110144,2015-08-08
2015,Sep,95511,2015-09-09
2015,Oct,105498,2015-10-10
2015,Nov,90218,2015-11-11
2015,Dec,119255,2015-12-12
2016,Jan,108396,2016-01-01
2016,Feb,120639,2016-02-02
2016,Mar,115131,2016-03-03
2016,Apr,103493,2016-04-04
2016,May,93228,2016-05-05
2016,Jun,79034,2016-06-06
2016,Jul,110432,2016-07-07
2016,Aug,112282,2016-08-08
2016,Sep,101909,2016-09-09
2016,Oct,117489,2016-10-10
2016,Nov,104572,2016-11-11
2016,Dec,119530,2016-12-12
2017,Jan,125336,2017-01-01
2017,Feb,121052,2017-02-02
2017,Mar,112665,2017-03-03
2017,Apr,119774,2017-04-04
2017,May,93491,2017-05-05
2017,Jun,85222,2017-06-06
2017,Jul,113175,2017-07-07
2017,Aug,121310,2017-08-08
2017,Sep,105984,2017-09-09
2017,Oct,127986,2017-10-10
2017,Nov,120506,2017-11-11
2017,Dec,143041,2017-12-12
2018,Jan,142351,2018-01-01
2018,Feb,144286,2018-02-02
2018,Mar,133466,2018-03-03
2018,Apr,119713,2018-04-04
2018,May,92913,2018-05-05
2018,Jun,93786,2018-06-06
2018,Jul,122332,2018-07-07
2018,Aug,123992,2018-08-08
2018,Sep,107620,2018-09-09
2018,Oct,127393,2018-10-10
2018,Nov,125604,2018-11-11
2018,Dec,150818,2018-12-12
2019,Jan,151552,2019-01-01
2019,Feb,168583,2019-02-02
2019,Mar,162843,2019-03-03
2019,Apr,163114,2019-04-04
2019,May,103022,2019-05-05
2019,Jun,113475,2019-06-06
2019,Jul,132144,2019-07-07
2019,Aug,139338,2019-08-08
2019,Sep,117619,2019-09-09
2019,Oct,141928,2019-10-10
2019,Nov,137921,2019-11-11
2019,Dec,171348,2019-12-12
2020,Jan,173347,2020-01-01
2020,Feb,149785,2020-02-02
2020,Mar,59630,2020-03-03
2020,Apr,13,2020-04-04
2020,May,41,2020-05-05
2020,Jun,1,2020-06-06
2020,Jul,1752,2020-07-07
2020,Aug,7636,2020-08-08
2020,Sep,9605,2020-09-09
2020,Oct,21515,2020-10-10
2020,Nov,35757,2020-11-11
2020,Dec,96412,2020-12-12
2021,Jan,92103,2021-01-01
2021,Feb,96882,2021-02-02
2021,Mar,109585,2021-03-03
2021,Apr,91200,2021-04-04
2021,May,64613,2021-05-05
2021,Jun,56166,2021-06-06
2021,Jul,101818,2021-07-07
2021,Aug,143599,2021-08-08
2021,Sep,114896,2021-09-09
2021,Oct,142066,2021-10-10
2021,Nov,144725,2021-11-11
2021,Dec,164284,2021-12-12
2022,Jan,131765,2022-01-01
2022,Feb,149011,2022-02-02
2022,Mar,150748,2022-03-03
2022,Apr,145282,2022-04-04
2022,May,125528,2022-05-05
2022,Jun,110885,2022-06-06
2022,Jul,133561,2022-07-07
2022,Aug,131863,2022-08-08
2022,Sep,111986,2022-09-09
2022,Oct,153737,2022-10-10
2022,Nov,146886,2022-11-11
2022,Dec,184051,2022-12-12
2023,Jan,172499,2023-01-01
2023,Feb,177915,2023-02-02
2023,Mar,173514,2023-03-03
2023,Apr,164357,2023-04-04
2023,May,120959,2023-05-05
2023,Jun,120363,2023-06-06
2023,Jul,145620,2023-07-07
2023,Aug,154854,2023-08-08
